-1: 请收看今天文倩的世界周报。
-53: 其实巴掌也说了一个粗话啊，那另外呢他也满口谎言。
-54: 他也不承认，也不接受选举。
-55: 必然的结果他还射出了前提要件，特别是对于伊列利奥号国会暴动，这国会暴动对美国历史来讲是非常划时代的。他自一八一二年战争以来，从来没有任何人对国会大厦进行破坏性的攻击。而川普的支持者是第一次。
-56: 可是马上最高法院做出了裁决。我前面提到还认为检察官起诉这些人的某些条文呢基本上是越权的这对川普来讲又是一场法律的一个大胜利。所以我们看到政治里头一个最荒谬的一个现象。
-57: 他的粗暴，所有的人都看在眼里，他的满口谎言，所有的人也都看在眼里。
-58: 但是他却取得了最高的一个胜利。某个程度来讲，我们可以说
-59: 从六月二十七号到六到六月二十八号。
-60: 那是川普的DJ啊，那他赢的原因，因为他的对手太弱。
-61: 他的对手呢接近一种让人们难以置信的，可以担任总统能力的表现。在辩论会里面，那拜登的
-62: 幕僚替他的解释说他感冒了，但是请注意啊，第二天呢到了北卡。
-63: 隔一个晚上，晚den的表现完全不一样了，因为他有了。
-64: 读稿机，所以有没有读稿机，原来都有总统差别这么大啊。
-65: 那某个程度我们必须要很清楚的准备好。
-66: 一个川普时代的来临，这个时代呢在经济方面就是全球课征关税。
-67: 百分之十美国回到GATCWTO之前的时代。
-68: 全球要克征关税，因为美国国债太高，美国要增加收入。美国本身的市场呢是一个很大的市场，所以要进来的所有的产品都要克征百分之十的关税。
-69: 其次，和川普打交道，他某个程度会好像先让给你。
-70: 然后再进一步，也可能先进一步再退一步。另外呢，他对于很多国际重大的事件。
-71: 曝光乌克兰战争部分，他是要求乌克兰要上和平谈判桌，用军人来施压美，有就是反移民的一个时代。美国走上极右派的一个主张。从经济
-72: 到政治到社会的移民通通走向如此，让我们来看一下川普将如何他荡学以后将怎么样改变这个世界决退选。
-73: 留下焦虑的民主党之外，各国有相当的忐忑。这里头最忐忑的第一个是欧盟，他们很担心川普像原来所说的退出北约。
-74: 一般人的看法，他可能不会退出北约，可是会减少美国对北约的经济援助，要求北约各个国家交出更多的钱。但是北约现在好多欧洲的盟国。
-75: 本身呢很多国家都是极右派，也就是伊欧派的人当选。
-76: 他们也不希望交钱给北约。在这个情况之下，北约这个组织将来很可能变成实质意义不大。尤其对于抵挡俄罗斯的力量大幅减小的状况。所以我刚才特别用了这个标题。
-77: 各国都相当忐忑里头，也曝括了在亚洲的日本。
-78: 韩国还有菲律宾，因为在巴年时代的时候，他们是紧密的合作。在这个状况里头，当川普上台，他就事论事，他完全是一个务实现实主义者，而且是一个孤立的外交主义者。什么叫孤立的外交主义者呢？他认为美国不应该把钱。
-79: 花在对外的参战上面，在这个情况里头，他很可能不会维持非常高的军事预算，然后他会让军事预算下降。
-80: 他让军火的收入增加，这个是川普在军事方面很好的采取的一个大转变。而且呢奥巴马的演讲的写手。
-81: 也特别呼吁华府要调整。
-82: 霸权心态这句话意思是什么呢？就是你不要再管那么多国家的事情，所以不要注意这只是川普一个人的转向。
-83: 其实从川普开始，他就修正了很多奥巴马的路线。
-84: 然后拜登大多数虽然它好像跟川普的外交路线不一样。
-85: 但是他在六月二十一号辩论的时候也讲的很清楚。
-86: 他说，我是美国这一任内唯一没有派任何美军在国外阵亡牺牲的唯一的一位总统是。
-87: 这个世纪里来唯一的一个总统，也就是奥巴马有小布什也有。
-88: 川普，你也有，你在afghanistan,你没有结束。阿富汗战争是我结束的，我们没有任何一个美军阵亡。所以整体来讲呢，美国走向第一个不派军在外面参与战争，不让美军阵亡。
-89: 甚至对外国的事物减少经费的投资将会成为未来的一个大趋势。因此，太靠近美国或是靠美国保护的所有的国家。
-90: 都会面临他的困难。其中第一个冲击的当然是乌克兰。我们会在明天文全的世界周报，为大家做出很深入的一个相关的报道。而整体而言，人们认为不论川败谁当选，这是美国。
-91: 赴国安顾问顾问呢，罗德斯在外交事务期刊上写的文章，他认为未来不论川普还是拜登谁当选。
-92: 乌战都可能会结束纽约时报的报道在得到了barack奥巴马、奥巴马前总统，还有南卡的众议员。
-93: 克莱伯恩等民主党盟友的认可情况里头。
-94: 拜登拒绝将提名，让给更年轻的候选人，他拒绝退选，这是最新的一个消息。而目前没让高层接受了这个妥协案。
-95: 丢下了焦虑的很多，其他的民主党，尤其要竞选连任的参议员跟所有的众议员纽约时报还是不接受。
-96: 这样的一个结果，他访问了好几个。
-97: 不同的民主党里头的人，当然这些人是匿名的，他们是被牛十巴称为陷入困境的民主党人。他说，那些与拜登最亲近的人。
-98: 怎么可能不劝说他放弃呢？知道他可能会跌得如此严重，他们怎么会同意辩论呢？
-99: 同意了一场，怎么还准备同意去参加第二场呢？
-100: 他们怎么可以不让他更好的隐藏，还在大本营一周里头可以预见的挑战做好准备呢？
-101: 而前十分钟简直就是一场灾难，很难理解，这是怎么发生的。事实上，拜登的年龄问题从一刚开始的时候就一直是问题。
-102: 各位是不晓得，还记不记得当时激密文件案。
-103: 川普也有瓦尔伦当副总统的时候，也有，他也把他带回他自己的家里头去。
-104: 因此，他也没有按照美国的法律，将机密文件好好的，在交接的时候交给美国。
-105: 国家档案局，所以呢，他也被起诉了。在被起诉的过程当中，检察官最后以不起诉的理由是什么，因为。
-106: 他不是故意的，他老了，他记忆力不好，他忘记了。
-107: 而当他所以不起诉的理由就是他老了，他忘记了他连机密文件是什么，他都搞不清楚，他还带回家里头去，这是他没有被起诉，最终没有被要求审理的最重要的原因。而这个原因本身也形成了六月二十七号这场灾难性的辩论。这场灾难性辩论。对，川普而言是一个
-108: 绝对的一个胜利，但是他是最的的一辩辩吗吗？在四年前一当年他们两个人互骂，有的人说一百七十几次，有的人说一百一十一次。
-109: 最新有人统计说七十四，因为骂的次数太多了，根本就算不清楚。现在我们用七十三次，用一个最低的次数来算。
-110: 一当年的时候，他们两个也是互骂，那场辩论会也是史上最糟的。
-111: 但是他并没有造成拜登的通盘的瓦解，理由是什么？让我们来回顾当年才不过四年，到底拜登老了多少？让人们觉得昨天他是灾难性的表现。
-112: 那这四年后的差别是什么？就川普是一样的粗暴，但是发展在那个时刻笃定的。
-113: 回答他，而且态度非常快的反应，也就是反应的敏锐。跟这一次，他刚开始前十分钟的停滞，跟连两分钟都用不完，没有时间把辩论讲完。
-114: 这四年，他真于是老太多，或者他的木兰长是真的，他感冒了。不过他第二天又恢复神奇的恢复了，所以到底发生了什么事情，我想还是检察官说了，他老了，我们紧紧的广告，但是表态他不会退选。
-115: 迎战下次九月十号的辩论，当然丢下了焦虑的民主党，为什么民党交流？为大家来看一下这个表格。
-116: 目前balance在全美国，我们所讲的兰州就是民主党的州里头，他取得胜利的。他拥有的选举人谈票，这是美国的选举制度，并不是我们台湾说，按照全国民众的投票总数，是以每一个州的选举人谈票数。他掌握了两百二十六票。
-117: 川普掌握了两百一十七票，就是他们的铁票。
-118: 这是目前的状况而决定的呢，就是剩下的七个州。这七个州的选举人谈票是九十三张，所以他远远
-119: 超过了两个人现有的差距，七张选举人团票。而在我们来看一下，在摇摆州就是这七大洲里头的趋势。
-120: Pennsylvania川普是百分之四十八，对巴den的百分之四十六navada川普是百分之四十九，对巴den的百分之四十五。Arizona川普的百分之四十九对巴den百分之四十四。
-121: 这就是叫我们去台积淀的地方，两个人都为了arizona是摇摆洲站台进去这里。而目前川普赢了by的五个百分点juja这个地方川普呢是百分之四十九。
-122: 对巴den的百分之四十四，在上次大选的时候，arizona jodrea 拜登都是赢的。
-123: 北卡的部分呢民主党从来没有赢过川普，现在是百分之四十八，对，拜登的百分之四十三摇摆州里头的wisconsin:
-124: 川普是四十八，对，巴den四十七是最接近的michigan呢是四十八，对四十六。所以有人曾经想说，如果拜伦落这个愿意退选的话，将由michigan的州长witden来取代他。那么这个地方呢也是川普赢八的落后。所以简单来讲，七个摇摆州呢，如果按照现在的民调状况来讲，川普全赢，巴den全输。我们刚刚所说的九十三张德军举人坛票全部都属于川普。所以当然会川普大胜才会留下我刚才所说的。
-125: 焦虑的民主党。而纽约时报我们来看一下全国民调的平均值。全国民调的平均值呢，川普是百分之四十六，拜登是百分之四十五，这是在辩论的前一天。在辩论前一天里头，new times是六月二十六号所做出来的所有各自的选举里头。
-126: 各自的民调里头全部平均下来呢，双方几乎是平手的。而相信在辩论之后呢，他情况就是会改变，再加上我们看到的美国的特殊的选举制度。
-127: 然后纽约什么预测？如果川普继是保持民调的领先，也就是在摇摆这个民调领先的话，将赢得大选。
-128: 到时候大选的结果呢，拜登会拿到两百二十六张选票，川普会拿到三百一十二张。而在关于川普犯罪里头，其实最严重的是一月六号的国会暴动事件。
